Prompt,Input,Output,Type
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh and i was off you know doing you know household type things you know laundry,so uh and i was off you know doing you know hou- household type things you know laundry,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well how do we get that,well how do we acco- how do we get that,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but oh i love to run in the rain,but in the rain oh i love to run in the rain,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well um uh i definitely would n't dispute that,well um i would n't uh i definitely would n't dispute that,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",you typed that's right,that you typed that's right,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",does it,and and d- does it,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah okay.,Yeah <sil> okay.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and with our budget cuts i'm sure that's not going to change anytime soon,and with our budget cuts i'm sure that's not going to not going to change anytime soon,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",like what kind of oldies,like what what kind of oldies,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and they're doing it you know unconsciously,and they're doing it un- you know unconsciously,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",what are your music interests,what are your m- music interests,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well and sometimes this is just the lead in to a sales pitch too,well and sometimes that's this is just the lead in to a sales pitch too,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh uh-huh.,Oh <sil> uh-huh.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well as a substitute teacher for a year i can say yes,well as a substitute teacher for a year i can i can say yes,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and i've always watched it since then,and and i've always watched it since then,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh my my dad was always a proponent of that,i uh my my dad was always a pro- a proponent of that,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Uh I've never actually seen her in concert. I imagine that she puts on a pretty good show.,Uh <sil> I've never actually seen her in concert. I imagine that she puts on a pretty good show.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",that that's actually real good,that that that's actually real good,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah well I'm I'm working for T I Texas Instruments down here.,Yeah <sil> well <sil> I'm <sil> I'm working for T I <sil> Texas Instruments <sil> down here.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i i teach at the university,i- i i teach at the university,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i've got a stack next to my bed,i've got a a stack next to my bed,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i do feel the courts have held up a great deal of our privacy i mean particularly look in in some of the,i do feel the courts have have held up a great deal of of our privacy i mean particularly look in in some of the in some of the,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",I looked into picking up some uh medical insurance just for my family you know and it is unbelievable how much you have to pay for it. And uh yeah Oh yeah even at a group rate. Uh it's unbelievable and uh the amount that you have to pay you know for kids and if you want to add dental to it I mean that eats even more. So yeah I guess the other benefits uh uh that that I I uh that I miss I guess is uh you know some of the bonuses and stuff that goes on with just being involved with a big company you know and,I looked into picking up some <sil> uh <sil> medical insurance just for my family <sil> you know <sil> and it is unbelievable how much you have to pay for it. And <sil> uh <sil> yeah <sil> Oh <sil> yeah even at a group rate. Uh <sil> it's unbelievable and <sil> uh <sil> the amount that you have to pay you know <sil> for kids and if you want to add dental to it <sil> I mean that eats even more. So <sil> yeah <sil> I guess the other benefits uh uh <sil> <sil> that that I I <sil> <sil> uh <sil> that I miss <sil> I guess is <sil> uh <sil> you know <sil> some of the bonuses and stuff that goes on with just being involved with a big company <sil> you know and,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i go to school too at night,i was i go to school too at night,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it's you know like exercise or something for your feet,it's it's you know like exercise or something for your feet,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah ours is kind of a little ranch style with a great big oh I guess it's twenty-eight by fifteen front porch. Oh. Next door we've got an Austin stone. Across the street the guy it was burnt out about two years ago and and the guy moved in and completely redid it's got oh it's got a rounded front on it. It's all brick and he's he's landscaped his yard and he's about ready to put in a pool and things like that. So yeah there's a variety you just don't see it anywhere else as far as the different styles in the houses and whatnot.,Yeah <sil> ours is kind of a little ranch style with a great big <sil> oh <sil> I guess <sil> it's twenty-eight by fifteen front porch. Oh. Next door <sil> we've got an Austin stone. Across the street <sil> the guy <sil> it was burnt out about two years ago and <sil> and the guy moved in and completely redid it's got <sil> oh <sil> it's got a rounded front on it. It's all brick <sil> and he's <sil> he's landscaped his yard and he's about ready to put in a pool and things like that. So <sil> yeah <sil> there's a variety <sil> you just don't see it anywhere else <sil> as far as the different styles in the houses and whatnot.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and another consideration is what's the ratio of teachers to children because that makes um a difference,and another consideration is how many infants or children are they what's the ratio of of teachers to to children because that makes a um a difference,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",that you know their yo- vote's not going to make that much difference,that <sil> you know <sil> their <sil> yo- <sil> vote's not going to make that much difference,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and it looks quite formal,and it and it looks quite formal,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",are you a native texan,are you a a native texan,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and that's great if they're sentenced to death,and that's and that's great if they're con- if they're sentenced to death,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so i and you know work is you know working for state government you hear all about current events about things going on within the state itself,a- so i and you know work is you know working for state government you you hear all about current events a- about things going on within the state itself,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",yeah,y- yeah,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",No from West Virginia but uh my wife's parents are from the New York New Jersey area but everyone uh has seem to relocated down that area. Seems like a nice place to go.,No <sil> from West Virginia but uh <sil> my wife's parents are from the New York <sil> New Jersey area but everyone uh <sil> has seem to relocated down that area. Seems like a nice place to go.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well you'll get a couple more probably,well you'll you'll get a couple more probably,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but uh you know it comes in mighty handy,but uh you know it's it comes in mighty handy,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",of course three girls they're they've all become women in themselves that it's been neat to watch them,of course three girls they're each becoming they're they've all become women in themselves that it's been neat to watch them,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and i thought well gee i've never known it to lightning at that temperature,and i thought well gee i've i've never known it to lightning at that temperature,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",are you involved in any engineering drawing stuff that,do you are you involved in any engineering drawing stuff that,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Actually uh they just recently started a policy of testing drugs which was kind of interesting because when I went to work for them uh they didn't do that but uh since then they've started a drug testing policy not because of their own uh convictions but because the clients of our company requests that we do that. How about you?,Actually <sil> uh <sil> they just recently started a policy of testing drugs <sil> which was kind of interesting <sil> because when I went to work for them <sil> uh <sil> they didn't do that <sil> but <sil> uh <sil> since then they've started a drug testing policy <sil> not because of their own <sil> uh <sil> convictions <sil> but because the clients of our company requests that we do that. How about you?,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i think they're a bit over exposed,i think th- i think they're a bit t- over exposed,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",I I I I think it from conviction to execution should take no longer than a year.,I <sil> I I I think it from conviction to execution should take no longer than a year.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",do all that walking especially with my gear.,do all that walking <sil> especially with my gear.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Well it's kind of a broad subject uh I I think there are some areas where we where we uh pretty well you know get our money's worth but I I also think there are a lot of areas especially in uh big government federal government uh where we're short changed.,Well <sil> it's kind of a broad subject <sil> uh <sil> I <sil> I think there are some areas where we <sil> where we <sil> uh <sil> pretty well <sil> you know <sil> get our money's worth <sil> but I <sil> I also think there are a lot of areas especially in <sil> uh <sil> big government <sil> federal government <sil> uh <sil> where we're short changed.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i know my husband he um plays an instrument,i- i know my husband he um plays an instrument,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",they were sort of the lower end of the top of the line hotels because they said you can't stay in the cheap stuff.,they were sort of the lower end of the top of the line <sil> hotels <sil> because they said you can't stay in the cheap stuff.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",they're very comfortable,they they're very comfortable,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well the criteria the sheriff would have to follow is this guy a convicted felon uh,the only well the criteria the sheriff would have to follow has is this guy a convicted felon uh,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",normally y- y- go fishing for bass you get a lot of sunfish or cat or whatever and some other strange stuff,normally you go y- y- go fishing for bass you get a lot of sunfish or or cat or whatever and some other strange stuff,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",one group of them decides that they're going to negotiate or they're going to do something they're going to try to make some peace uh the end result is that there so many factions of them uh some more violent than others some with a certain agenda different than the others or they split they end up becoming divisive themselves.,one group of them decides that they're going to negotiate <sil> or they're going to do something <sil> they're going to try to make some peace <sil> uh <sil> the end result is that there so many factions of them uh <sil> some more violent than others <sil> some with a certain agenda different than the others <sil> or they split <sil> they end up becoming divisive themselves.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i'm the the the raw fish like that,i'm not into the the do n't do the the raw raw fish like that,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it's not very deep,it's not it's not very deep,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i,i- i,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah yeah I I use that for br- for rice and for when I cook pasta or something I'll put a little bit of bouillon in there just to give it a little extra flavor.,Yeah <sil> yeah <sil> I <sil> I use that for br- <sil> for rice and for when I cook pasta or something <sil> I'll put a little bit of bouillon in there just to give it a little extra flavor.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",like there's been more than one evening that i've uh caught uh every animal show that evening on uh on the discovery channel,like there's more than b- there's been more than one evening that i've uh caught uh every animal show that evening on uh on the discovery channel,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it's actually turning out to be more useful than what i thought,it's it's actually turning out to be more more useful than what i thought,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",now where did you first get your lessons from,now do you wh- where did you first get your lessons from,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well and no i love them,well and i no i love them,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",got uh talked to someone else before that was uh a texan,i been uh i got uh talked to someone else before that was a uh a texan,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and it would basically be me working to pay for them to be at a day care center,and it it would be just basically be me working to pay for them to be at a day care center,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i uh you can see why,i i could see uh you can see why,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",And the cat's just looking at me like sorry.,And the cat's just looking at me like <sil> sorry.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",that's interesting,that's in- that's interesting,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Um well I like like you said real life um I like biographies of people's lives like especially like athletes for some reason it seems to interest me like people that make a big comeback or you know Orel Hershiser things like that. And um I like to read,Um <sil> well <sil> I like <sil> like you said <sil> real life <sil> um <sil> I like biographies of people's lives <sil> like <sil> especially like athletes <sil> for some reason it seems to interest me <sil> like people that make a big comeback or <sil> you know <sil> Orel Hershiser <sil> things like that. And <sil> um <sil> I like to read,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i wo n't use one that i have to pay an annual fee you know and um i i use it well to buy my gas with,i wo n't use one that i have to pay an annual fee you know and um i'm uh like you i i use it well to buy my gas with,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh yeah I'm afraid you're right there. uh but uh anything like this that came up whether it it,Oh <sil> yeah <sil> I'm afraid you're right there. uh <sil> but <sil> uh <sil> anything like this that came up whether it <sil> it,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Uh that's neat.,Uh <sil> that's neat.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",that's about all the time i can spare,that's about all the time i can i can spare,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i do n't quite understand it although i think probably the worst thing that's happening at least the modern world today is television,i do n't quite understand it although i think probably the the worst thing that's happening in the world at least the modern world today is television,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah I mean I get I get at least one or two a week. People t- you know sending me a credit card or calling me on the phone and I just say I don't want it. Because I Yeah.,Yeah <sil> I mean <sil> I get <sil> I get at least one or two a week. People <sil> t- <sil> you know <sil> sending me a credit card or calling me on the phone and I just say I don't want it. Because I <sil> Yeah.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",that's right,that's c- that's right,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i- it's sort of a joke,i- i- it's sort of a joke,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i mean i'm not saying at all that hussein was n't quite willing to enter that fight,i mean i'm not not saying at all that hussein was n't quite willing to ge- enter that fight,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so you know i uh you know i do n't get on the phone too much,so i you know i do n't have uh you know i do n't get on the phone too much,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",I mean MUMBLEx.,I mean <sil> MUMBLEx.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",in other words if they just wanted to have a gun to have in their home uh you would n't like them to be able to do that,in other words if they just wanted to have a a gun to have in their home uh you would n't you would n't like them to be able to do that,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and essentially the first thing is on order of you dunk litmus paper in the urine and or some you know,and essentially the first thing is tha- is on the order of you dunk litmus paper in the in the urine and and or some you know,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but right,and but right,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Seems like it's a good safe number to pick you know.,Seems like it's a good safe number to pick <sil> you know.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but uh oh boy uh uh he he gave the the best response that i've heard him give of this type of movie for rain man,but uh oh boy he was uh uh he he gave the the the best response that i've heard him give of this type of movie for rain man,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Is that where the over there off of like I'm not sure what the street is is it near Country Club and all yeah. Yeah. I I I've seen the signs but I've never actually seen the place itself you know. It's set far back off the road.,Is that where the <sil> over there off of <sil> like <sil> I'm not sure what the street is <sil> is it near Country Club <sil> and all <sil> yeah. Yeah. I I <sil> <sil> I've seen the signs but I've never actually seen the place itself <sil> you <sil> know. It's set far back <sil> off the road.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well are your children now,well are your are your children now,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well i was i'm a democrat,well i was i was i'm a democrat,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",you know the evidence is that uh you know he's let some stuff go you know the east german situation,you know the evidence is that uh you know he's he's let some some stuff go you know the east german situation,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and you know everything is to the glory of allah,and it's you know everything is to the glory of allah,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah. I graduated back in seventy-nine so but I've really I loved I mean I was really into the album oriented music even then so I was really familiar with a lot the A O R type music. Um the album oriented like uh James Taylor and uh the Beatles and you know I mean a lot of people they go they're better than the Beatles and I'm like you know you don't know what you're talking about.,Yeah. I graduated back in seventy-nine <sil> so <sil> but I've really <sil> I loved <sil> I mean <sil> I was really into the album oriented music <sil> even then <sil> so I was really familiar with a lot the A O R type music. Um <sil> the album oriented like uh <sil> James Taylor <sil> and <sil> uh <sil> the Beatles <sil> and you know <sil> I mean <sil> a lot of people they go <sil> they're better than the Beatles <sil> and I'm like <sil> you know <sil> you don't know what you're talking about.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah because then the the animal's in trouble and not the person.,Yeah <sil> because then the <sil> the animal's in trouble <sil> and not the person.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Um September really was I'm not sure about October. I think for about twelve months through September the average temperature has been higher than normal each month.,Um <sil> September really was <sil> I'm not sure about October. I think for about twelve months through September the average temperature has been higher than normal each month.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Ugh ugh.,Ugh <sil> ugh.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",what it is that'll take care of them,what it what it is that'll that'll take care of them,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i guess uh fishing's a pretty big thing huh,i guess it's pretty uh fishing's a pretty big thing huh,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i mean they're they still do n't know what they were there for,i mean it was they're they still do n't know what they were there for,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Okay. I'll let you start. Do you all keep a budget and how do you hold to yours?.,Okay. I'll let you start. Do you all keep a budget <sil> and how do you hold to yours?.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",you think about this when it comes to a subject like that,you think about this when you coming to a when it comes to a subject like that,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i mean if they're going to give you the opportunity to turn yourself in then they ought to you know go out of the way i think a little bit more uh to you you rehabilitated you know to get back at your job,i mean if if they're going to give you the opportunity to turn yourself in then they ought to you know go out of the way i think a little bit more to uh to help you get you help get you rehabilitated to you know to get get back at your job,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",and they can become very quickly a large financial burden as as one more stepchild we have to carry around.,and they can become very quickly a large financial burden <sil> as <sil> as one more stepchild we have to carry around.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and uh uh i think by the year two thousand we're going to see uh a lot more changes uh hopefully that women are you know able to get the executive jobs and hold positions that men do because they can do it just as well you know,and i think that uh uh i think by the year two thousand it we're going to see some uh a lot more changes uh hopefully that women are you know able to get the the executive jobs and hold positions that men men do because they can do it just as well you know,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but we'll see how our predictions come true,but but we'll see how our predictions come true,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well it,well it it,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but she had called and left a message on our recorder,but she had she had le- called and left a message on our recorder,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i would put that too,i would i would put that too,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",And finally our governor at the time who is not in office now came in and said okay where we draw the line is no sex offenders will be let,And finally our governor at the time who is not in office now came in and said <sil> okay <sil> where we draw the line is no sex offenders will be let,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh and i'm like you i like the older stuff too,but uh and i like i'm like you i like the older stuff too,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but uh uh it's definitely different,but uh it's uh it's definitely different,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it's nothing you know elaborate where it has uh this or this or you know,it's it's nothing you know elaborate where it has uh this or this or you know,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Uh Um. that would be to me a really nice vacation because I'm not in physical shape for something like that but uh I sure would work on it if I had an opportunity like that.,Uh <sil> Um. that would be to me <sil> a really nice vacation because I'm not in physical shape for something like that <sil> but <sil> uh <sil> I sure would work on it <sil> if I had an opportunity like that.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",But then you know I think that some murderers don't really warrant capital punishment. You know like for example uh you know you hear about cases where women have killed their husbands who abused them and I don't think that would really warrant capital punishment.,But <sil> then <sil> you know <sil> I think that some murderers don't really warrant capital punishment. You know <sil> like <sil> for example <sil> uh <sil> you know <sil> you hear about cases where women have killed their husbands who abused them and I don't think <sil> that would really warrant capital punishment.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh i- there's some trees,uh it i- there's some trees,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well it kind of is an idiot box,it just well it kind of is an idiot box,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",um i guess i grew up on it,um i guess i- i grew up on it,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh yeah.,Oh <sil> yeah.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah. It's a lot more humid down that way. In fact miserable.,Yeah. It's a lot more humid down that way. In fact <sil> miserable.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so i'm real picky,so i'm i'm real picky,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",I mean it's not really government for the people and by the people I'll tell you that.,I mean it's not really government for the people and by the people <sil> I'll tell you that.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",oh yeah,ex- oh yeah,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",yeah,ye- yeah,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",just,just just,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",kimberly and clark the makers of kleenex and such has uh a big uh paper mill,kimberly and clark the the makers of kleenex and such has a uh a big uh paper mill,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but we're starting to get everybody back together,but we're we're starting to get everybody back together,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",uh which approach do you find to be uh more useful the interpretive approach or the straight reporting?,uh <sil> which approach do you find to be <sil> uh <sil> more useful <sil> the interpretive approach or the straight reporting?,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",his first name's like marlo or marlin,his first name's like mar- marlo or marlin,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and yet you feel for the kids,and yet you feel for the the kids,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",what west out of colo-,what west west out of colo-,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",I said okay because I'm not a swimmer. I like water. I'm not scared of it. But I couldn't I guess I could swim across the pool but I'm no swimmer per se.,I said <sil> okay <sil> because I'm not a swimmer. I like water. I'm not scared of it. But I couldn't <sil> I guess I could swim across the pool <sil> but I'm no swimmer per se.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh it's long term. We just you know his retirement plan and then to CODA and stuff like that that's all we and you know we just have our life insurance for right now. So we don't have any long term you know in stocks or anything like that right now so.,Oh it's long term. We just <sil> you know <sil> his retirement plan and then to CODA and stuff like that <sil> that's all we <sil> and you know <sil> we just have our life insurance for right now. So <sil> we don't have any long term <sil> you know <sil> in stocks <sil> or anything like that right now <sil> so.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well i am glad you have broken the ice with me because now i'll start doing it,well i am glad you have broken the ice with me because now i'll i'll start doing it,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",you know i work full time,i'm you know i work full time,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i do n't even know much money my sister spent on hers,i do n't even i do n't even know much money my sister spent on hers,disfl
